"Entity","Aliases","Toxicity","Purification_Keywords"
"වියළි භාල්ලාතක පොතු","වියළි කෑල, අරැෂ්කර පොතු","High","ගඩොල් කුඩු, හුණු ජලය"
"වියළි භාල්ලාතක කොළ","වියළි කෑල, අරැෂ්කර කොළ","High","ගඩොල් කුඩු, හුණු ජලය"
"වියළි භාල්ලාතක මල්","වියළි කෑල, අරැෂ්කර මල්","High","ගඩොල් කුඩු, හුණු ජලය"
"වියළි භාල්ලාතක ගෙඩි","වියළි කෑල, අරැෂ්කර ගෙඩි","High","ගඩොල් කුඩු, හුණු ජලය"
"වියළි භාල්ලාතක ඇට","වියළි කෑල, අරැෂ්කර ඇට","High","ගඩොල් කුඩු, හුණු ජලය"
"වියළි භාල්ලාතක යුෂ","වියළි කෑල, අරැෂ්කර යුෂ","High","ගඩොල් කුඩු, හුණු ජලය"
"වියළි භාල්ලාතක තෛලය","වියළි කෑල, අරැෂ්කර තෛලය","High","ගඩොල් කුඩු, හුණු ජලය"
"වියළි භාල්ලාතක චූර්ණය","වියළි කෑල, අරැෂ්කර චූර්ණය","High","ගඩොල් කුඩු, හුණු ජලය"
"පැරණි භාල්ලාතක මුල්","පැරණි කෑල, අරැෂ්කර මුල්","High","ගඩොල් කුඩු, හුණු ජලය"
"පැරණි භාල්ලාතක පොතු","පැරණි කෑල, අරැෂ්කර පොතු","High","ගඩොල් කුඩු, හුණු ජලය"
"පැරණි භාල්ලාතක කොළ","පැරණි කෑල, අරැෂ්කර කොළ","High","ගඩොල් කුඩු, හුණු ජලය"
"පැරණි භාල්ලාතක මල්","පැරණි කෑල, අරැෂ්කර මල්","High","ගඩොල් කුඩු, හුණු ජලය"
"පැරණි භාල්ලාතක ගෙඩි","පැරණි කෑල, අරැෂ්කර ගෙඩි","High","ගඩොල් කුඩු, හුණු ජලය"
"පැරණි භාල්ලාතක ඇට","පැරණි කෑල, අරැෂ්කර ඇට","High","ගඩොල් කුඩු, හුණු ජලය"
"පැරණි භාල්ලාතක යුෂ","පැරණි කෑල, අරැෂ්කර යුෂ","High","ගඩොල් කුඩු, හුණු ජලය"
"පැරණි භාල්ලාතක තෛලය","පැරණි කෑල, අරැෂ්කර තෛලය","High","ගඩොල් කුඩු, හුණු ජලය"
"පැරණි භාල්ලාතක චූර්ණය","පැරණි කෑල, අරැෂ්කර චූර්ණය","High","ගඩොල් කුඩු, හුණු ජලය"
"අලුත් භාල්ලාතක මුල්","අලුත් කෑල, අරැෂ්කර මුල්","High","ගඩොල් කුඩු, හුණු ජලය"
"අලුත් භාල්ලාතක පොතු","අලුත් කෑල, අරැෂ්කර පොතු","High","ගඩොල් කුඩු, හුණු ජලය"
"අලුත් භාල්ලාතක කොළ","අලුත් කෑල, අරැෂ්කර කොළ","High","ගඩොල් කුඩු, හුණු ජලය"
"අලුත් භාල්ලාතක මල්","අලුත් කෑල, අරැෂ්කර මල්","High","ගඩොල් කුඩු, හුණු ජලය"
"අලුත් භාල්ලාතක ගෙඩි","අලුත් කෑල, අරැෂ්කර ගෙඩි","High","ගඩොල් කුඩු, හුණු ජලය"
"අලුත් භාල්ලාතක ඇට","අලුත් කෑල, අරැෂ්කර ඇට","High","ගඩොල් කුඩු, හුණු ජලය"
"අලුත් භාල්ලාතක යුෂ","අලුත් කෑල, අරැෂ්කර යුෂ","High","ගඩොල් කුඩු, හුණු ජලය"
"අලුත් භාල්ලාතක තෛලය","අලුත් කෑල, අරැෂ්කර තෛලය","High","ගඩොල් කුඩු, හුණු ජලය"
"අලුත් භාල්ලාතක චූර්ණය","අලුත් කෑල, අරැෂ්කර චූර්ණය","High","ගඩොල් කුඩු, හුණු ජලය"
"ශුද්ධ භාල්ලාතක මුල්","ශුද්ධ කෑල, අරැෂ්කර මුල්","High","ගඩොල් කුඩු, හුණු ජලය"
"ශුද්ධ භාල්ලාතක පොතු","ශුද්ධ කෑල, අරැෂ්කර පොතු","High","ගඩොල් කුඩු, හුණු ජලය"
"ශුද්ධ භාල්ලාතක කොළ","ශුද්ධ කෑල, අරැෂ්කර කොළ","High","ගඩොල් කුඩු, හුණු ජලය"
"ශුද්ධ භාල්ලාතක මල්","ශුද්ධ කෑල, අරැෂ්කර මල්","High","ගඩොල් කුඩු, හුණු ජලය"
"ශුද්ධ භාල්ලාතක ගෙඩි","ශුද්ධ කෑල, අරැෂ්කර ගෙඩි","High","ගඩොල් කුඩු, හුණු ජලය"
"ශුද්ධ භාල්ලාතක ඇට","ශුද්ධ කෑල, අරැෂ්කර ඇට","High","ගඩොල් කුඩු, හුණු ජලය"
"ශුද්ධ භාල්ලාතක යුෂ","ශුද්ධ කෑල, අරැෂ්කර යුෂ","High","ගඩොල් කුඩු, හුණු ජලය"
"ශුද්ධ භාල්ලාතක තෛලය","ශුද්ධ කෑල, අරැෂ්කර තෛලය","High","ගඩොල් කුඩු, හුණු ජලය"
"ශුද්ධ භාල්ලාතක චූර්ණය","ශුද්ධ කෑල, අරැෂ්කර චූර්ණය","High","ගඩොල් කුඩු, හුණු ජලය"
"අශුද්ධ භාල්ලාතක මුල්","අශුද්ධ කෑල, අරැෂ්කර මුල්","High","ගඩොල් කුඩු, හුණු ජලය"
"අශුද්ධ භාල්ලාතක පොතු","අශුද්ධ කෑල, අරැෂ්කර පොතු","High","ගඩොල් කුඩු, හුණු ජලය"
"අශුද්ධ භාල්ලාතක කොළ","අශුද්ධ කෑල, අරැෂ්කර කොළ","High","ගඩොල් කුඩු, හුණු ජලය"
"අශුද්ධ භාල්ලාතක මල්","අශුද්ධ කෑල, අරැෂ්කර මල්","High","ගඩොල් කුඩු, හුණු ජලය"
"අශුද්ධ භාල්ලාතක ගෙඩි","අශුද්ධ කෑල, අරැෂ්කර ගෙඩි","High","ගඩොල් කුඩු, හුණු ජලය"
"අශුද්ධ භාල්ලාතක ඇට","අශුද්ධ කෑල, අරැෂ්කර ඇට","High","ගඩොල් කුඩු, හුණු ජලය"
"අශුද්ධ භාල්ලාතක යුෂ","අශුද්ධ කෑල, අරැෂ්කර යුෂ","High","ගඩොල් කුඩු, හුණු ජලය"
"අශුද්ධ භාල්ලාතක තෛලය","අශුද්ධ කෑල, අරැෂ්කර තෛලය","High","ගඩොල් කුඩු, හුණු ජලය"
"අශුද්ධ භාල්ලාතක චූර්ණය","අශුද්ධ කෑල, අරැෂ්කර චූර්ණය","High","ගඩොල් කුඩු, හුණු ජලය"
"අමු සදිලිංගම් මුල්","අමු හිංගුල, රක්ත මුල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අමු සදිලිංගම් පොතු","අමු හිංගුල, රක්ත පොතු","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අමු සදිලිංගම් කොළ","අමු හිංගුල, රක්ත කොළ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අමු සදිලිංගම් මල්","අමු හිංගුල, රක්ත මල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අමු සදිලිංගම් ගෙඩි","අමු හිංගුල, රක්ත ගෙඩි","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අමු සදිලිංගම් ඇට","අමු හිංගුල, රක්ත ඇට","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අමු සදිලිංගම් යුෂ","අමු හිංගුල, රක්ත යුෂ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අමු සදිලිංගම් තෛලය","අමු හිංගුල, රක්ත තෛලය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අමු සදිලිංගම් චූර්ණය","අමු හිංගුල, රක්ත චූර්ණය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"වියළි සදිලිංගම් මුල්","වියළි හිංගුල, රක්ත මුල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"වියළි සදිලිංගම් පොතු","වියළි හිංගුල, රක්ත පොතු","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"වියළි සදිලිංගම් කොළ","වියළි හිංගුල, රක්ත කොළ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"වියළි සදිලිංගම් මල්","වියළි හිංගුල, රක්ත මල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"වියළි සදිලිංගම් ගෙඩි","වියළි හිංගුල, රක්ත ගෙඩි","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"වියළි සදිලිංගම් ඇට","වියළි හිංගුල, රක්ත ඇට","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"වියළි සදිලිංගම් යුෂ","වියළි හිංගුල, රක්ත යුෂ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"වියළි සදිලිංගම් තෛලය","වියළි හිංගුල, රක්ත තෛලය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"වියළි සදිලිංගම් චූර්ණය","වියළි හිංගුල, රක්ත චූර්ණය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"පැරණි සදිලිංගම් මුල්","පැරණි හිංගුල, රක්ත මුල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"පැරණි සදිලිංගම් පොතු","පැරණි හිංගුල, රක්ත පොතු","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"පැරණි සදිලිංගම් කොළ","පැරණි හිංගුල, රක්ත කොළ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"පැරණි සදිලිංගම් මල්","පැරණි හිංගුල, රක්ත මල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"පැරණි සදිලිංගම් ගෙඩි","පැරණි හිංගුල, රක්ත ගෙඩි","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"පැරණි සදිලිංගම් ඇට","පැරණි හිංගුල, රක්ත ඇට","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"පැරණි සදිලිංගම් යුෂ","පැරණි හිංගුල, රක්ත යුෂ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"පැරණි සදිලිංගම් තෛලය","පැරණි හිංගුල, රක්ත තෛලය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"පැරණි සදිලිංගම් චූර්ණය","පැරණි හිංගුල, රක්ත චූර්ණය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අලුත් සදිලිංගම් මුල්","අලුත් හිංගුල, රක්ත මුල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අලුත් සදිලිංගම් පොතු","අලුත් හිංගුල, රක්ත පොතු","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අලුත් සදිලිංගම් කොළ","අලුත් හිංගුල, රක්ත කොළ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අලුත් සදිලිංගම් මල්","අලුත් හිංගුල, රක්ත මල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අලුත් සදිලිංගම් ගෙඩි","අලුත් හිංගුල, රක්ත ගෙඩි","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අලුත් සදිලිංගම් ඇට","අලුත් හිංගුල, රක්ත ඇට","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අලුත් සදිලිංගම් යුෂ","අලුත් හිංගුල, රක්ත යුෂ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අලුත් සදිලිංගම් තෛලය","අලුත් හිංගුල, රක්ත තෛලය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අලුත් සදිලිංගම් චූර්ණය","අලුත් හිංගුල, රක්ත චූර්ණය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"ශුද්ධ සදිලිංගම් මුල්","ශුද්ධ හිංගුල, රක්ත මුල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"ශුද්ධ සදිලිංගම් පොතු","ශුද්ධ හිංගුල, රක්ත පොතු","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"ශුද්ධ සදිලිංගම් කොළ","ශුද්ධ හිංගුල, රක්ත කොළ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"ශුද්ධ සදිලිංගම් මල්","ශුද්ධ හිංගුල, රක්ත මල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"ශුද්ධ සදිලිංගම් ගෙඩි","ශුද්ධ හිංගුල, රක්ත ගෙඩි","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"ශුද්ධ සදිලිංගම් ඇට","ශුද්ධ හිංගුල, රක්ත ඇට","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"ශුද්ධ සදිලිංගම් යුෂ","ශුද්ධ හිංගුල, රක්ත යුෂ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"ශුද්ධ සදිලිංගම් තෛලය","ශුද්ධ හිංගුල, රක්ත තෛලය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"ශුද්ධ සදිලිංගම් චූර්ණය","ශුද්ධ හිංගුල, රක්ත චූර්ණය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අශුද්ධ සදිලිංගම් මුල්","අශුද්ධ හිංගුල, රක්ත මුල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අශුද්ධ සදිලිංගම් පොතු","අශුද්ධ හිංගුල, රක්ත පොතු","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අශුද්ධ සදිලිංගම් කොළ","අශුද්ධ හිංගුල, රක්ත කොළ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අශුද්ධ සදිලිංගම් මල්","අශුද්ධ හිංගුල, රක්ත මල්","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අශුද්ධ සදිලිංගම් ගෙඩි","අශුද්ධ හිංගුල, රක්ත ගෙඩි","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අශුද්ධ සදිලිංගම් ඇට","අශුද්ධ හිංගුල, රක්ත ඇට","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අශුද්ධ සදිලිංගම් යුෂ","අශුද්ධ හිංගුල, රක්ත යුෂ","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අශුද්ධ සදිලිංගම් තෛලය","අශුද්ධ හිංගුල, රක්ත තෛලය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අශුද්ධ සදිලිංගම් චූර්ණය","අශුද්ධ හිංගුල, රක්ත චූර්ණය","High","දෙහි යුෂ, ඉඟුරු යුෂ"
"අමු රසදිය මුල්","අමු පාරද, රස මුල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අමු රසදිය පොතු","අමු පාරද, රස පොතු","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අමු රසදිය කොළ","අමු පාරද, රස කොළ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අමු රසදිය මල්","අමු පාරද, රස මල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අමු රසදිය ගෙඩි","අමු පාරද, රස ගෙඩි","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අමු රසදිය ඇට","අමු පාරද, රස ඇට","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අමු රසදිය යුෂ","අමු පාරද, රස යුෂ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අමු රසදිය තෛලය","අමු පාරද, රස තෛලය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අමු රසදිය චූර්ණය","අමු පාරද, රස චූර්ණය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"වියළි රසදිය මුල්","වියළි පාරද, රස මුල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"වියළි රසදිය පොතු","වියළි පාරද, රස පොතු","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"වියළි රසදිය කොළ","වියළි පාරද, රස කොළ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"වියළි රසදිය මල්","වියළි පාරද, රස මල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"වියළි රසදිය ගෙඩි","වියළි පාරද, රස ගෙඩි","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"වියළි රසදිය ඇට","වියළි පාරද, රස ඇට","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"වියළි රසදිය යුෂ","වියළි පාරද, රස යුෂ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"වියළි රසදිය තෛලය","වියළි පාරද, රස තෛලය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"වියළි රසදිය චූර්ණය","වියළි පාරද, රස චූර්ණය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"පැරණි රසදිය මුල්","පැරණි පාරද, රස මුල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"පැරණි රසදිය පොතු","පැරණි පාරද, රස පොතු","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"පැරණි රසදිය කොළ","පැරණි පාරද, රස කොළ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"පැරණි රසදිය මල්","පැරණි පාරද, රස මල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"පැරණි රසදිය ගෙඩි","පැරණි පාරද, රස ගෙඩි","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"පැරණි රසදිය ඇට","පැරණි පාරද, රස ඇට","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"පැරණි රසදිය යුෂ","පැරණි පාරද, රස යුෂ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"පැරණි රසදිය තෛලය","පැරණි පාරද, රස තෛලය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"පැරණි රසදිය චූර්ණය","පැරණි පාරද, රස චූර්ණය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අලුත් රසදිය මුල්","අලුත් පාරද, රස මුල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අලුත් රසදිය පොතු","අලුත් පාරද, රස පොතු","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අලුත් රසදිය කොළ","අලුත් පාරද, රස කොළ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අලුත් රසදිය මල්","අලුත් පාරද, රස මල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අලුත් රසදිය ගෙඩි","අලුත් පාරද, රස ගෙඩි","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අලුත් රසදිය ඇට","අලුත් පාරද, රස ඇට","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අලුත් රසදිය යුෂ","අලුත් පාරද, රස යුෂ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අලුත් රසදිය තෛලය","අලුත් පාරද, රස තෛලය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අලුත් රසදිය චූර්ණය","අලුත් පාරද, රස චූර්ණය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"ශුද්ධ රසදිය මුල්","ශුද්ධ පාරද, රස මුල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"ශුද්ධ රසදිය පොතු","ශුද්ධ පාරද, රස පොතු","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"ශුද්ධ රසදිය කොළ","ශුද්ධ පාරද, රස කොළ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"ශුද්ධ රසදිය මල්","ශුද්ධ පාරද, රස මල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"ශුද්ධ රසදිය ගෙඩි","ශුද්ධ පාරද, රස ගෙඩි","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"ශුද්ධ රසදිය ඇට","ශුද්ධ පාරද, රස ඇට","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"ශුද්ධ රසදිය යුෂ","ශුද්ධ පාරද, රස යුෂ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"ශුද්ධ රසදිය තෛලය","ශුද්ධ පාරද, රස තෛලය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"ශුද්ධ රසදිය චූර්ණය","ශුද්ධ පාරද, රස චූර්ණය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අශුද්ධ රසදිය මුල්","අශුද්ධ පාරද, රස මුල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අශුද්ධ රසදිය පොතු","අශුද්ධ පාරද, රස පොතු","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අශුද්ධ රසදිය කොළ","අශුද්ධ පාරද, රස කොළ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අශුද්ධ රසදිය මල්","අශුද්ධ පාරද, රස මල්","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අශුද්ධ රසදිය ගෙඩි","අශුද්ධ පාරද, රස ගෙඩි","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අශුද්ධ රසදිය ඇට","අශුද්ධ පාරද, රස ඇට","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අශුද්ධ රසදිය යුෂ","අශුද්ධ පාරද, රස යුෂ","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අශුද්ධ රසදිය තෛලය","අශුද්ධ පාරද, රස තෛලය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අශුද්ධ රසදිය චූර්ණය","අශුද්ධ පාරද, රස චූර්ණය","High","සුදුළූණු, ලුණු, දෙහි යුෂ"
"අමු ගෙන්දගම් මුල්","අමු ගන්ධක, ශුල්වාරි මුල්","High","එළකිරි, ගිතෙල්"
"අමු ගෙන්දගම් පොතු","අමු ගන්ධක, ශුල්වාරි පොතු","High","එළකිරි, ගිතෙල්"
"අමු ගෙන්දගම් කොළ","අමු ගන්ධක, ශුල්වාරි කොළ","High","එළකිරි, ගිතෙල්"
"අමු ගෙන්දගම් මල්","අමු ගන්ධක, ශුල්වාරි මල්","High","එළකිරි, ගිතෙල්"
"අමු ගෙන්දගම් ගෙඩි","අමු ගන්ධක, ශුල්වාරි ගෙඩි","High","එළකිරි, ගිතෙල්"
"අමු ගෙන්දගම් ඇට","අමු ගන්ධක, ශුල්වාරි ඇට","High","එළකිරි, ගිතෙල්"
"අමු ගෙන්දගම් යුෂ","අමු ගන්ධක, ශුල්වාරි යුෂ","High","එළකිරි, ගිතෙල්"
"අමු ගෙන්දගම් තෛලය","අමු ගන්ධක, ශුල්වාරි තෛලය","High","එළකිරි, ගිතෙල්"
"අමු ගෙන්දගම් චූර්ණය","අමු ගන්ධක, ශුල්වාරි චූර්ණය","High","එළකිරි, ගිතෙල්"
"වියළි ගෙන්දගම් මුල්","වියළි ගන්ධක, ශුල්වාරි මුල්","High","එළකිරි, ගිතෙල්"
"වියළි ගෙන්දගම් පොතු","වියළි ගන්ධක, ශුල්වාරි පොතු","High","එළකිරි, ගිතෙල්"
"වියළි ගෙන්දගම් කොළ","වියළි ගන්ධක, ශුල්වාරි කොළ","High","එළකිරි, ගිතෙල්"
"වියළි ගෙන්දගම් මල්","වියළි ගන්ධක, ශුල්වාරි මල්","High","එළකිරි, ගිතෙල්"
"වියළි ගෙන්දගම් ගෙඩි","වියළි ගන්ධක, ශුල්වාරි ගෙඩි","High","එළකිරි, ගිතෙල්"
"වියළි ගෙන්දගම් ඇට","වියළි ගන්ධක, ශුල්වාරි ඇට","High","එළකිරි, ගිතෙල්"
"වියළි ගෙන්දගම් යුෂ","වියළි ගන්ධක, ශුල්වාරි යුෂ","High","එළකිරි, ගිතෙල්"
"වියළි ගෙන්දගම් තෛලය","වියළි ගන්ධක, ශුල්වාරි තෛලය","High","එළකිරි, ගිතෙල්"
"වියළි ගෙන්දගම් චූර්ණය","වියළි ගන්ධක, ශුල්වාරි චූර්ණය","High","එළකිරි, ගිතෙල්"
"පැරණි ගෙන්දගම් මුල්","පැරණි ගන්ධක, ශුල්වාරි මුල්","High","එළකිරි, ගිතෙල්"
"පැරණි ගෙන්දගම් පොතු","පැරණි ගන්ධක, ශුල්වාරි පොතු","High","එළකිරි, ගිතෙල්"
"පැරණි ගෙන්දගම් කොළ","පැරණි ගන්ධක, ශුල්වාරි කොළ","High","එළකිරි, ගිතෙල්"
"පැරණි ගෙන්දගම් මල්","පැරණි ගන්ධක, ශුල්වාරි මල්","High","එළකිරි, ගිතෙල්"
"පැරණි ගෙන්දගම් ගෙඩි","පැරණි ගන්ධක, ශුල්වාරි ගෙඩි","High","එළකිරි, ගිතෙල්"
"පැරණි ගෙන්දගම් ඇට","පැරණි ගන්ධක, ශුල්වාරි ඇට","High","එළකිරි, ගිතෙල්"
"පැරණි ගෙන්දගම් යුෂ","පැරණි ගන්ධක, ශුල්වාරි යුෂ","High","එළකිරි, ගිතෙල්"
"පැරණි ගෙන්දගම් තෛලය","පැරණි ගන්ධක, ශුල්වාරි තෛලය","High","එළකිරි, ගිතෙල්"
"පැරණි ගෙන්දගම් චූර්ණය","පැරණි ගන්ධක, ශුල්වාරි චූර්ණය","High","එළකිරි, ගිතෙල්"
"අලුත් ගෙන්දගම් මුල්","අලුත් ගන්ධක, ශුල්වාරි මුල්","High","එළකිරි, ගිතෙල්"
"අලුත් ගෙන්දගම් පොතු","අලුත් ගන්ධක, ශුල්වාරි පොතු","High","එළකිරි, ගිතෙල්"
"අලුත් ගෙන්දගම් කොළ","අලුත් ගන්ධක, ශුල්වාරි කොළ","High","එළකිරි, ගිතෙල්"
"අලුත් ගෙන්දගම් මල්","අලුත් ගන්ධක, ශුල්වාරි මල්","High","එළකිරි, ගිතෙල්"
"අලුත් ගෙන්දගම් ගෙඩි","අලුත් ගන්ධක, ශුල්වාරි ගෙඩි","High","එළකිරි, ගිතෙල්"
"අලුත් ගෙන්දගම් ඇට","අලුත් ගන්ධක, ශුල්වාරි ඇට","High","එළකිරි, ගිතෙල්"
"අලුත් ගෙන්දගම් යුෂ","අලුත් ගන්ධක, ශුල්වාරි යුෂ","High","එළකිරි, ගිතෙල්"
"අලුත් ගෙන්දගම් තෛලය","අලුත් ගන්ධක, ශුල්වාරි තෛලය","High","එළකිරි, ගිතෙල්"
"අලුත් ගෙන්දගම් චූර්ණය","අලුත් ගන්ධක, ශුල්වාරි චූර්ණය","High","එළකිරි, ගිතෙල්"
"ශුද්ධ ගෙන්දගම් මුල්","ශුද්ධ ගන්ධක, ශුල්වාරි මුල්","High","එළකිරි, ගිතෙල්"
"ශුද්ධ ගෙන්දගම් පොතු","ශුද්ධ ගන්ධක, ශුල්වාරි පොතු","High","එළකිරි, ගිතෙල්"
"ශුද්ධ ගෙන්දගම් කොළ","ශුද්ධ ගන්ධක, ශුල්වාරි කොළ","High","එළකිරි, ගිතෙල්"
"ශුද්ධ ගෙන්දගම් මල්","ශුද්ධ ගන්ධක, ශුල්වාරි මල්","High","එළකිරි, ගිතෙල්"
"ශුද්ධ ගෙන්දගම් ගෙඩි","ශුද්ධ ගන්ධක, ශුල්වාරි ගෙඩි","High","එළකිරි, ගිතෙල්"
"ශුද්ධ ගෙන්දගම් ඇට","ශුද්ධ ගන්ධක, ශුල්වාරි ඇට","High","එළකිරි, ගිතෙල්"
"ශුද්ධ ගෙන්දගම් යුෂ","ශුද්ධ ගන්ධක, ශුල්වාරි යුෂ","High","එළකිරි, ගිතෙල්"
"ශුද්ධ ගෙන්දගම් තෛලය","ශුද්ධ ගන්ධක, ශුල්වාරි තෛලය","High","එළකිරි, ගිතෙල්"
"ශුද්ධ ගෙන්දගම් චූර්ණය","ශුද්ධ ගන්ධක, ශුල්වාරි චූර්ණය","High","එළකිරි, ගිතෙල්"
"අශුද්ධ ගෙන්දගම් මුල්","අශුද්ධ ගන්ධක, ශුල්වාරි මුල්","High","එළකිරි, ගිතෙල්"
"අශුද්ධ ගෙන්දගම් පොතු","අශුද්ධ ගන්ධක, ශුල්වාරි පොතු","High","එළකිරි, ගිතෙල්"
"අශුද්ධ ගෙන්දගම් කොළ","අශුද්ධ ගන්ධක, ශුල්වාරි කොළ","High","එළකිරි, ගිතෙල්"
